id,recipient,announced_work,program,award_amount_usd,year,source_id,source_url,selection_reason,outcome_status
1,Kyle MacLeod,Economics teaching through video,Emergent Ventures,,2025,EV40,https://marginalrevolution.com/marginalrevolution/2025/02/emergent-ventures-winners-40th-cohort.html,Not publicly established by this announcement,"Funded work announcement, not independently verified outcome"
2,Megan Gafford,Aesthetics essays,Emergent Ventures,,2025,EV40,https://marginalrevolution.com/marginalrevolution/2025/02/emergent-ventures-winners-40th-cohort.html,Not publicly established by this announcement,"Funded work announcement, not independently verified outcome"
3,Alice Gribbin,Book about Correggio and beauty,Emergent Ventures,,2025,EV40,https://marginalrevolution.com/marginalrevolution/2025/02/emergent-ventures-winners-40th-cohort.html,Not publicly established by this announcement,"Funded work announcement, not independently verified outcome"
4,Kaivalya Hariharan,Human–AI collaboration,Emergent Ventures,,2025,EV40,https://marginalrevolution.com/marginalrevolution/2025/02/emergent-ventures-winners-40th-cohort.html,Not publicly established by this announcement,"Funded work announcement, not independently verified outcome"
5,Parker Whitfill,Comparing AI systems,Emergent Ventures,,2025,EV40,https://marginalrevolution.com/marginalrevolution/2025/02/emergent-ventures-winners-40th-cohort.html,Not publicly established by this announcement,"Funded work announcement, not independently verified outcome"
6,Charles Yang,Digitizing Rickover’s archives,Emergent Ventures,,2025,EV43,https://marginalrevolution.com/marginalrevolution/2025/06/emergent-ventures-winners-43rd-cohort.html,Not publicly established by this announcement,"Funded work announcement, not independently verified outcome"
7,Bethlehem Hadgu,Classical-music performance and institution building,Emergent Ventures,,2025,EV43,https://marginalrevolution.com/marginalrevolution/2025/06/emergent-ventures-winners-43rd-cohort.html,Not publicly established by this announcement,"Funded work announcement, not independently verified outcome"
8,Lucas Kuziv,AI/programming education for Ukrainian youth,Emergent Ventures,,2025,EV43,https://marginalrevolution.com/marginalrevolution/2025/06/emergent-ventures-winners-43rd-cohort.html,Not publicly established by this announcement,"Funded work announcement, not independently verified outcome"
9,Lydia Laurenson,Independent writing,Emergent Ventures,,2025,EV43,https://marginalrevolution.com/marginalrevolution/2025/06/emergent-ventures-winners-43rd-cohort.html,Not publicly established by this announcement,"Funded work announcement, not independently verified outcome"
10,Jonathan Nankivell,Improving UK clinical trials,Emergent Ventures,,2025,EV43,https://marginalrevolution.com/marginalrevolution/2025/06/emergent-ventures-winners-43rd-cohort.html,Not publicly established by this announcement,"Funded work announcement, not independently verified outcome"
